year,dispnum,midloc2_location,midloc2_measuringpoint,midloc2_xlongitude,midloc2_ylatitude,midloc2_precision,midloc2_howobtained,midloc2_precision_comment,midloc2_general_comment,priogrid_cell,midloc11_location,midloc11_midlocmeasuringpoint,midloc11_latitude,midloc11_longitude,midloc11_precision
1926,3184,Bulgaria-Romania Border,Midpoint of shared (national) border,25.4793,43.6402,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,66528,Bulgarian/Rumanian border,"Svishtov, Bulgaria",43.6167,25.3333,4
1926,3260,Manchuria,Manchuria,125.82,46.54,6,MIDLOC1.1,State like,,62009,"Zhongdong railroad, Manchuria","Harbin, China",45.75,126.65,4
1926,3362,"Radeke, Croatia","Radeke, Croatia",15.6883,44.1108,1,Geonames.org and latlong.net,Precise location text,,65869,Radek,"Radeke, Croatia",44.1108,15.6883,1
1927,145,"Shanghai, China","Shanghai, China",121.474,31.2304,1,latlong.net,Precise location text,,84400,.,shanghai,31.2,121.5,1
1927,1025,Chaco Boreal,Chaco Boreal,-60,-23,5,geonames.org,> ADM1,,163242,Chaco Boreal,"Chaco Boreal, Paraguay",-23,-60,3
1927,1169,Guatemala-Honduras Border,Midpoint of shared (national) border,-88.9898,15.1322,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,107820,Honduran-Guatemalan border,"San Pedro, Honduras",15.1,-86.1167,4
1927,1672,Unspecified,,,,-99,,Location unclear or unspecified,,,.,,,,7
1927,1674,Manchuria,Manchuria,125.82,46.54,6,MIDLOC1.1,State like,,62009,"Zhongdong Railway, Manchuria","Harbin, China",45.75,126.65,4
1927,2132,Chaco Boreal,Chaco Boreal,-60,-23,5,geonames.org,> ADM1,,163242,Chaco Boreal,"Chaco Boreal, Paraguay",-23,-60,3
1927,2209,"Wuhan, China","Wuhan, China",114.306,30.5928,1,latlong.net,Precise location text,,85106,Hankow,"Hangkow, China",30.5833,114.267,1
1928,40,China (Shandong [ADM1]),Centroid of ADM1,118.151,36.352,4,ArcGIS and GADM,ADM1,,77194,Shantung Province Manchuria,Tsinan,36.6683,116.997,3
1928,1026,Chaco Boreal,Chaco Boreal,-60,-23,5,geonames.org,> ADM1,,163242,Chaco Boreal,"Chaco Boreal, Paraguay",-23,-60,3
1928,3187,Bulgaria-Greece Border,Midpoint of shared (national) border,24.8234,41.4042,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,70127,Bulgaria/Greece border,"Zlatograd, Bulgaria",41.3833,25.1,4
1929,41,"Harbin, China","Harbin, China",126.535,45.8038,1,latlong.net,Precise location text,,63451,"Harbin, North Manchuria","Harbin, China",45.75,126.65,1
1929,1170,Honduras-Nicaragua Border,Midpoint of shared (national) border,-85.4934,14.082,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,109267,,NIC-HON border,14.01,-85.372,4
1929,2316,"Isla Margarita, Paraguay","Isla Margarita, Paraguay",-57.8897,-21.695,1,latlong.net,Precise location text,,161086,Ilha Margarida,"Ilha Magarida, Brazil",-11.0833,-55.6167,3
1929,3188,Bulgaria-Yugoslavia Border,Midpoint of shared (national) border,22.5318,42.8794,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,68043,Bulgaria/Yugoslavia border,"Trn, Bulgaria",42.8353,22.6517,4
1930,2133,Rio Paraguay,"Asuncion, Paraguay",-57.5759,-25.2637,5,MIDLOC1.1 and latlong.net,Point along a line,,166126,Rio Paraguay,"Asuncion, Paraguay",-25.2667,-57.6667,4
1931,129,"Harbin, China","Harbin, China",126.535,45.8038,5,latlong.net,> ADM1,,63451,Manchuria,"Harbin, China",45.75,126.65,3
1931,407,"Wal Wal, Chad","Wal Wal, Chad",14.1,14.36,1,latlong.net,Precise location text,,109066,Walwal,"Wal Wal, Chad",14.3667,14.1,1
1931,1027,Chaco Boreal,Chaco Boreal,-60,-23,5,geonames.org,> ADM1,,163242,Chaco Boreal,"Chaco Boreal, Paraguay",-23,-60,3
1931,1127,Saudi Arabia-Yemen Border,Midpoint of shared (national) border,44.5422,17.3755,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,104647,Saudi Yemen border,"Najran, Saudi Arabia",17.5056,44.1842,4
1931,1128,"Najran, Saudi Arabia","Najran, Saudi Arabia",44.2289,17.5656,1,latlong.net,Precise location text,,103926,Najran-S.Arabia Yemen border,"Najran, Saudi Arabia",17.5056,44.1842,1
1931,3186,Bulgaria-Greece Border,Midpoint of shared (national) border,24.8234,41.4042,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,70127,Bulgaria/Greece border,"Zlatograd, Bulgaria",41.3833,25.1,4
1932,178,"Harbin, China","Harbin, China",126.535,45.8038,5,latlong.net,> ADM1,,63451,Manchuria,"Harbin, China",45.75,126.65,3
1932,248,Manchuria,Manchuria,125.82,46.54,6,MIDLOC1.1,State,,62009,,manchuria,46.54,125.82,5
1932,1139,"Leticia, Colombia","Leticia, Colombia",-69.9359,-4.20317,1,latlong.net,Precise location text,,135858,Leticia,"Leticia, Colombia",10.3667,-74.4667,1
1932,1151,Rio Zarumilla,Rio Zarumilla,-80.2307,-3.49514,5,Point estimate and latlong.net,Point along a line,,134477,Zarumilla river,"Zaruma, Ecuador",-3.68333,-79.6167,4
1932,1733,Atlantic Ocean,Atlantic Ocean,-28.6731,-14.5994,6,latlong.net,Ocean,,150900,Atlantic Ocean,mid pt of ocean,16.4142,-37.5764,5
1932,2050,Brazil-Colombia-Peru Border,Intersection of shared (national) border,-69.9569,-4.23687,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,135858,"pt of border between BRA, PER, COL",,-4.17,-69.679,2
1933,1129,Saudi Arabia-Yemen Border,Midpoint of shared (national) border,44.5422,17.3755,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,104647,,YEM-SAU border,17.23,47.46,4
1933,1677,"Havana, Cuba","Havana, Cuba",-82.3666,23.1136,8,latlong.net,Capital,,96313,Cuba,Havana,23.1319,-82.3642,5
1933,2211,China (Inner Mongolia Autonomous Region [ADM1]),Centroid of ADM1,113.914,44.0864,4,ArcGIS and GADM,ADM1,Chahar is a historic province now contained in Inner Mongolia ADM1,65665,"Chahar Province, Inner Mongolia","Chahar, China",40.7772,113.204,3
1933,3160,Gengan River,Gengan River,59.2167,28.75,5,Geonames.org and latlong.net,Point along a line,,88116,North of Gengan River,"Gengan Rod, Iran",28.75,59.2167,4
1933,3655,China (Xinjiang [ADM1]),Centroid of ADM1,85.2036,41.112,4,ArcGIS and GADM,ADM1,,70008,Xinjiang,"Xinjiang, China",35.6128,111.218,3
1934,67,Czechoslovakia-Germany Border,Midpoint of shared (national) border,12.6784,50.4139,5,ArcGIS and cShapes,Point along a line,Uses 1955 data,57223,,md point of cze-ger border,50.81,14.1,4
1934,111,"Walwal, Abys","Walwal, Abys",45.4,7.05,1,MIDLOC1.1,Precise location text,,119048,.,"walwal, abys",7.05,45.4,1
1934,139,"China (Hebei [ADM1], Inner Mongolia Autonomous Prefecture [ADM1], and Liaoning [ADM1])",Centroid of > ADM1,115.008,43.2777,5,ArcGIS and GADM,> ADM1,"Jehol is a historic province, now appears split across, at least, three provinces",67108,Jehol province,"Chengteh, China",40.9725,118.17,3
1934,1141,Peru (Mariscal Ramon Castilla [ADM2]),Centroid of ADM2,-71.7389,-3.88895,3,ArcGIS and GADM,ADM2,,135134,Ramon Castilla,"Ramon Castilla, Peru",-4.25695,-69.9594,1
1934,1152,Rio Zarumilla,Rio Zarumilla,-80.2307,-3.49514,5,Point estimate and latlong.net,Point along a line,,134477,Oriente and Zarumilla River,"Zaruma, Ecuador",-3.68333,-79.6167,4
1934,2103,Iran-Iraq Border,Midpoint of shared (national) border,45.6418,33.7638,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,80889,iraq-iran border,mid pt of border,33.6258,45.8564,4
1934,2995,"Vladivostok, Russia","Vladivostok, Russia",131.887,43.1198,2,latlong.net,Near,,67061,near Vladevostok,"Vladivostok, Russia",43.1333,131.9,1
1934,3157,Turkey Territorial Waters (Mediterranean),Centroid of territorial waters,32.8805,35.9495,3,ArcGIS and Marine Regions,Territorial waters,,78063,Turkish waters,Istanbul,41,29,4
1934,3159,Afghanistan-Iran Border,Midpoint of shared (national) border,60.7024,32.6938,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,82359,Iran/Afganistan border,"Duruh, Iran",32.285,60.4989,4
1935,182,"Khalkhgol, Mongolia","Khalkhgol, Mongolia",118.622,47.627,5,latlong.net,Point along a line,,60635,,Khalkhin Gol,47.92,117.8,5
1935,616,"Beijing, China","Beijing, China",116.407,39.9042,8,latlong.net,Capital,,72150,China,"Beijing,",39.9289,116.388,5
1935,1171,El Salvador-Guatemala Border,Midpoint of shared (national) border,-89.709,14.1462,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,109258,Guatemalan-Salvadoran border,"Ahuachapan, El Sal",13.9167,-89.85,4
1935,2212,China (Hebei [ADM1]),Centroid of ADM1,116.13,39.5457,4,ArcGIS and GADM,ADM1,,72150,Hopei Province,"Paoting, China",18.7817,109.525,3
1935,3158,Bulgaria-Turkey Border,Midpoint of shared (national) border,27.1055,42.0943,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,68692,Turkish/Bulgarian border,mid pt of border,42.0497,27.053,4
1936,174,"Belgium, France, Germany Border",Point along shared noncontiguous border nearest midpoint of contiguous border including neighbors,6.79061,49.1655,5,ArcGIS and GADM,Point along a line,,58651,,md point GER border with FRA/BEL,49.43,6.69,4
1936,210,"Guadalajara, Spain","Guadalajara, Spain",-3.16017,40.6325,2,latlong.net,Near,,70951,,"near Guadalajara, spn",40.51,-2.96,2
1936,1028,Chaco Boreal,Chaco Boreal,-60,-23,5,geonames.org,> ADM1,,163242,Chaco Boreal,"Chaco Boreal, Paraguay",-23,-60,3
1936,2056,"Madrid, Spain","Madrid, Spain",-3.70379,40.4168,8,latlong.net,Capital,,71670,Spain,Madrid,40.4,-3.68333,5
1936,2214,China (Hebei [ADM1]),Centroid of ADM1,116.13,39.5457,4,ArcGIS and GADM,ADM1,,72150,Hopei,"Paoting, China",18.7817,109.525,3
1936,2724,Amur River,Midpoint of river,132.169,47.6919,5,ArcGIS and Natural Earth Data,Point along a line,,60582,Amur,"Amur River, Russ",52.9333,141.167,4
1937,157,"Beijing, China","Beijing, China",116.407,39.9042,8,latlong.net,Capital,,72150,China,"Beijing,",39.9289,116.388,5
1937,336,Algeria Territorial Waters,Centroid of territorial waters,3.21438,36.9211,3,ArcGIS and Marine Regions,Territorial waters,,76724,Off Coast of Algeria,Algiers,36.7631,3.05055,4
1937,409,Amur River,Midpoint of river,132.169,47.6919,5,ArcGIS and Natural Earth Data,Point along a line,,60582,Amur river,"Amur River, Russ",52.9333,141.167,4
1937,1825,Unspecified,,,,-99,,Location unclear or unspecified,,,.,,,,7
1937,2125,Rio Zarumilla,Rio Zarumilla,-80.2307,-3.49514,5,Point estimate and latlong.net,Point along a line,,134477,Zarumilla River,"Zaruma, Ecuador",-3.68333,-79.6167,4
1937,2303,Cape Bizerte,Cape Bizerte,9.86389,37.3333,2,latlong.net,Cape,,75937,off Bizerte Tunisia,Cap Bizerte,37.3333,9.86667,2
1937,2304,Gibraltar Territorial Waters,Centroid of territorial waters,-5.2458,36.089,3,ArcGIS and Marine Regions,Territorial waters,,77427,Off the Spanish Coast,Cadiz,36.5336,-6.29945,4
1937,2306,"Tunis, Tunisia","Tunis, Tunisia",10.1815,36.8065,2,latlong.net,Near,,76658,"Off Tunis, Tunisia",Tunis,36.8028,10.1797,2
1937,2307,"Barcelona, Spain","Barcelona, Spain",2.1734,41.3851,1,latlong.net,Precise location text,,70242,"Barcelona,Spain",Barcelona,41.3833,2.18333,1
1937,3189,"Iskenderun, Turkey","Iskenderun, Turkey",36.1756,36.5847,2,latlong.net,Near,,76630,"Alexandretta region, Syria","Iskenderun, Turkey",36.5833,36.1667,3
1937,3656,China (Xinjiang [ADM1]),Centroid of ADM1,85.2036,41.112,4,ArcGIS and GADM,ADM1,,70008,Xinjiang,"Xinjiang, China",35.6128,111.218,3
1938,11,Austria-Germany Border,Midpoint of shared (national) border,9.59932,47.5319,5,ArcGIS and cShapes,Point along a line,Uses 1955 data,60817,Austrian Border,Vienna,48.2,16.3667,4
1938,12,Czechoslovakia-Germany Border,Midpoint of shared (national) border,12.6784,50.4139,5,ArcGIS and cShapes,Point along a line,Uses 1955 data,57223,,ger-cze border,50.5,13,4
1938,184,Tumen River,Midpoint of river,129.731,42.494,5,ArcGIS and Natural Earth Data,Point along a line,,68497,Tumen River,"Tumen, China",31.7667,104.1,4
1938,337,Unspecified,,,,-99,,Location unclear or unspecified,,,.,,,,7
1938,410,Poland-Russia Border,Midpoint of shared (national) border,23.4462,52.5394,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,53632,Soviet/Polish border,"Brest, Byelorussia",52.1,23.7,4
1938,1029,Chaco Boreal,Chaco Boreal,-60,-23,5,geonames.org,> ADM1,,163242,Chaco Boreal,"Chaco Boreal, Paraguay",-23,-60,3
1938,1153,"Oriente Forest, Ecuador","Oriente Forest, Ecuador",-77.0104,-0.734,5,latlong.net,> ADM1,,130883,"Oriente, Zarumilla River","Zaruma, Ecuador",10.5833,6.8,3
1938,1243,"Vilnius, Lithuania","Vilnius, Lithuania",25.2797,54.6872,8,latlong.net,Capital,,50676,Poland/Lithuania border,"Kaliningrad, Russia",54.71,20.5,4
1938,1244,Poland (Cieszyn [ADM2]),Centroid of ADM2,18.8111,49.7317,3,ArcGIS and GADM,ADM2,,57955,Teschen region,"Teschen, Poland",49.7667,18.6,1
1938,1245,Hungary-Yugoslavia Border,Midpoint of shared (national) border,18.0074,45.7869,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,63714,Border,HUN-YUG border,45.71,18.4278,4
1938,1246,"Bratislava, Slovakia","Bratislava, Slovakia",17.1077,48.1486,8,latlong.net,Capital,,60112,Slovakia,Bratislava,48.15,17.1167,5
1938,3190,"Iskenderun, Turkey","Iskenderun, Turkey",36.1756,36.5847,2,latlong.net,Near,,76630,"Alexandretta region, Syria","Iskenderun, Turkey",36.5833,36.1667,3
1939,23,Estonia-Russia Border,Midpoint of shared (national) border,27.508,58.5314,5,ArcGIS and cShapes,Point along a line,Uses 1991 data,44921,Soviet/Estonian border,"Merimae, Estonia",57.6956,27.4608,4
1939,108,"Tirana, Albania","Tirana, Albania",19.8187,41.3275,8,latlong.net,Capital,,70197,Albania,"Tirana, Albania",41.3275,19.8189,5
1939,134,Memel,"Memel, Lithuania",21.1443,55.7033,1,latlong.net,Precise location text,,49308,Memel,"Memel, Lithuania",55.5,21.5,1
1939,169,"Warsaw, Poland","Warsaw, Poland",21.0122,52.2297,8,latlong.net,Capital,,54348,Poland,Warsaw,52.25,21,5
1939,179,"Helsinki, Finland","Helsinki, Finland",24.9384,60.1699,8,latlong.net,Capital,,42755,Finland,Helsinki,60.1756,24.9342,5
1939,183,"Khalkhin Gol, Russia","Khalkhin Gol, Russia",44.2097,46.3164,1,latlong.net,Precise location text,,62886,.,Khalkhin Gol,47.92,117.8,1
1939,258,East Prussia-Poland Border,Midpoint of shared (national) border,21.627,54.398,5,MIDLOC1.1,Point along a line,,51469,,md point of border between POL and E. Prussia,54.398,21.627,4
1939,503,Latvia-Russia Border,Midpoint of shared (national) border,27.7032,56.9124,5,ArcGIS and cShapes,Point along a line,Uses 1991 data,47801,Soviet/Latvian border,"Ostrov, Rus",57.8325,34.995,4
1939,620,Unspecified,,,,-99,,Location unclear or unspecified,,,.,,,,7
1939,1154,"Oriente Forest, Ecuador","Oriente Forest, Ecuador",-77.0104,-0.734,5,latlong.net,> ADM1,,130883,Zarumilla River and Oriente,"Zaruma, Ecuador",10.5833,6.8,3
1939,1247,"Khust, Ukraine","Khust, Ukraine",23.2972,48.1735,8,latlong.net,Capital,Khust was capital of Carpatho-Ukraine,60124,Carpatho-Ukraine,"Lvov, Ukraine",49.8333,24,3
1939,1684,"Brenner Pass, Italy","Brenner Pass, Italy",11.5061,47.0018,5,latlong.net,Point along a line,,61541,Brenner Pass,"Brenner Pass, Italy",47,11.5,4
1939,1685,Poland (Eastern [> ADM1]),Centroid of > ADM1,21.6259,51.9092,5,ArcGIS and GADM,> ADM1,,55069,Eastern Poland,"Liblin, Poland",49.9167,13.5333,3
1939,1686,Germany-Switzerland Border,Midpoint of shared (national) border,9.52686,47.5564,5,ArcGIS and cShapes,Point along a line,Uses 1955 data,60817,swi-ger border,mid pt on border,47.7156,8.62,4
1939,2302,"Prague, Czech Republic","Prague, Czech Republic",14.4378,50.0755,8,latlong.net,Capital,,57226,Czechoslovakia,Prague,50.0833,14.4667,5
1939,3191,Afghanistan-Russia Border,Midpoint of shared (national) border,68.8599,37.3324,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,75815,Afghanistan/USSR border,"Termez, Uzbekistan",37.2386,67.2783,4
1939,3364,"Khust, Ukraine","Khust, Ukraine",23.2972,48.1735,8,latlong.net,Capital,Khust was capital of Carpatho-Ukraine,60124,Carpatho-Ukraine,"Lvov, Ukraine",49.8333,24,3
1939,3700,North Sea,North Sea,3.51563,56.511,5,latlong.net,Sea,,47833,North Sea,"Dogger Bank, North Sea",55,3,5
1939,3701,Germany-Netherlands Border,Midpoint of shared (national) border,6.75484,52.0252,5,ArcGIS and cShapes,Point along a line,Uses 1955 data,54319,ger-neth Border,mid pt of border,52.1281,6.815,4
1939,3703,Germany-Luxembourg Border,Midpoint of shared (national) border,6.49409,49.7018,5,ArcGIS and cShapes,Point along a line,Uses 1955 data,57930,ger-lux Border,mid pt of border,49.8717,6.31361,4
1939,3705,"Bergen, Norway","Bergen, Norway",5.32205,60.3913,8,latlong.net,Capital,,42796,"Norway, North Sea","Bergen, Norway",60.3911,5.32472,5
1939,3708,Baltic Sea,Baltic Sea,19.8633,58.488,5,latlong.net,Sea,,45705,Baltic Sea,Baltic Sea,56,18,5
1939,3709,North Sea,North Sea,3.51563,56.511,5,latlong.net,Sea,,47833,North Sea,"Dogger Bank, North Sea",55,3,5
1939,3719,Baltic Sea,Baltic Sea,19.8633,58.488,5,latlong.net,Sea,,45705,Baltic Sea,Baltic Sea,56,18,5
1939,3723,Baltic Sea,Baltic Sea,19.8633,58.488,5,latlong.net,Sea,,45705,Baltic Sea,Baltic Sea,56,18,5
1939,3724,Mediterranean Sea,Mediterranean Sea,18.048,34.5531,5,latlong.net,Sea,,79554,Mediterranean Sea,Mediterranean Sea,35,20,5
1939,3804,"Gotland, Sweden","Gotland, Sweden",18.4867,57.4684,5,latlong.net,Sea,,47142,Sweedish waters in Baltic Sea,"Gotland, Sweden",57.5,18.55,5
1939,3809,Baltic Sea,Baltic Sea,19.8633,58.488,5,latlong.net,Sea,,45705,Baltic Sea,Baltic Sea,56,18,5
1939,3833,Argentina-Uruguay Border (Rio de la Plata [Territorial Waters]),Midpoint of shared (territorial water) border,-56.7412,-35.1945,5,ArcGIS and Marine Regions,Point along a line,,180528,"River Plate, Argentina",River Plate,-34.6167,-63.1667,4
1939,3834,Argentina-Uruguay Border (Rio de la Plata [Territorial Waters]),Midpoint of shared (territorial water) border,-56.7412,-35.1945,5,ArcGIS and Marine Regions,Point along a line,,180528,"River Plate, Argentina",River Plate,-34.6167,-63.1667,4
1940,22,"Riga, Latvia","Riga, Latvia",24.1052,56.9496,8,latlong.net,Capital,,47794,Latvia,"Riga, Latvia",56.95,24.1,5
1940,235,"Mers-el-Kebir, Algeria","Mers-el-Kebir, Algeria",-0.710527,35.7222,1,latlong.net,Precise location text,,78156,"Mers-el-Kebir, Algeria","Mers-el-Kebir, Algeria",35.7333,-0.716667,1
1940,339,Pacific Ocean,Pacific Ocean,-124.509,-8.78319,6,latlong.net,Ocean,,142468,Pacific Ocean,mid pt of ocean,1.84083,-157.767,5
1940,418,Albania-Greece Border,Midpoint of shared (national) border,20.5887,40.0717,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,71639,Greece-Albania border,"Leskovi Kolibi, Bulgaria",41.4,25.0667,4
1940,504,Lithuania-Russia Border,Midpoint of shared (national) border,23.8981,55.3357,6,ArcGIS and cShapes,State,Uses 1991 data,49953,Soviet/Lithuanian border,"Vilnius, Lithuania",54.6833,25.3167,4
1940,505,Estonia-Russia Border,Midpoint of shared (national) border,27.508,58.5314,5,ArcGIS and cShapes,Point along a line,Uses 1991 data,44921,Soviet/Estonian border,"Polna, Russia",58.4506,28.1564,4
1940,613,"Khemmarat, Thailand","Khemmarat, Thailand",105.149,15.9672,5,latlong.net,Point along a line,,106688,Thai Indochina boader,"Khemmarat, Thailand",16.05,105.217,4
1940,1749,Atlantic Ocean,Atlantic Ocean,-28.6731,-14.5994,6,latlong.net,Ocean,,150900,Atlantic Ocean,mid pt of ocean,16.4142,37.5764,5
1940,1783,Germany-Switzerland Border,Midpoint of shared (national) border,9.52686,47.5564,5,ArcGIS and cShapes,Point along a line,Uses 1955 data,60817,ger-swi border,mid pt of border,47.7156,8.62,4
1940,3699,,,,,-99,,Location unclear or unspecified,Added in MIDA_42,,,,,,
1940,3704,"Josing Fjord, Norway","Josing Fjord, Norway",6.33467,58.3146,1,latlong.net,Precise location text,,45678,"Josing Fjord, Norway",Josing Fjord,58.3,6.33333,1
1940,3706,Baltic Sea,Baltic Sea,19.8633,58.488,5,latlong.net,Sea,,45705,"Border, Baltic Sea",Baltic Sea,56,18,5
1940,3707,"Roem Island, Denmark","Roem Island, Denmark",8.51387,55.1389,2,latlong.net,Island,,50003,"Roem Island, Denmark",danish coast,57.7692,10.5042,3
1940,3713,Atlantic Ocean,Atlantic Ocean,-28.6731,-14.5994,6,latlong.net,Ocean,,150900,Atlantic Ocean,mid pt of ocean,16.4142,-37.5764,5
1940,3718,"Bidasoa, Cuba","Bidasoa, Cuba",-80.6833,22.3167,1,Geonames.org and latlong.net,Precise location text,,97756,Bidasoa Post,"Bidasoa, Cuba",22.3167,-80.6833,1
1940,3720,Atlantic Ocean,Atlantic Ocean,-28.6731,-14.5994,6,latlong.net,Ocean,,150900,Atlantic Ocean,mid pt of ocean,16.4142,-37.5764,5
1940,3800,Switzerland (Geneva [ADM1] and Vaud [ADM1]),Centroid of > ADM1,6.61631,46.5432,5,ArcGIS and GADM,> ADM1,Dual event; Contiguous ADM1s,62251,"Geneva, Lausanne Area","Geneva, Switzerland",46.2,6.16667,1
1940,3801,Norway-Sweden Border,Midpoint of shared (national) border,14.1403,64.9831,5,ArcGIS and cShapes,Point along a line,,36334,Sweden-Norway border,"Halden, Norway",59.15,11.3833,4
1940,3802,"Bjoernfjell, Norway","Bjoernfjell, Norway",18.0894,68.4472,1,Geonames.org and latlong.net,Precise location text,,31302,"Bjoernfell, Norway",Bjoernfell,63.5247,11.4078,1
1940,3807,"Port Said, Egypt","Port Said, Egypt",32.3019,31.2653,1,latlong.net,Precise location text,,84542,Port Said,"Port Said, Egypt",31.2667,32.3,1
