StateA,StateB,StartDate,EndDate,StartYear,StartMonth,EndYear,EndMonth,Type,Notes
501,520,1963-12-01,2016-12-01,1963,12,2016,12,1,Begins with KEN system entry
501,530,1963-12-01,2016-12-01,1963,12,2016,12,1,Begins with KEN system entry
501,625,1963-12-01,2011-07-01,1963,12,2011,07,1,Through South Sudan; begins with KEN system entry; ends with SSD secession from SUD
501,626,2011-07-01,2016-12-01,2011,07,2016,12,1,Begins with SSD system entry
510,511,1963-12-01,1964-04-01,1963,12,1964,04,3,Across Indian Ocean; begins with ZAN system entry; ends with ZAN merger into TAZ
510,516,1962-07-01,2016-12-01,1962,07,2016,12,1,Begins with BUI system entry
510,517,1962-07-01,2016-12-01,1962,07,2016,12,1,Begins with RWA system entry
510,520,1961-12-01,2016-12-01,1961,12,2016,12,5,Across Indian Ocean; begins with TAZ system entry
510,541,1975-06-01,2016-12-01,1975,06,2016,12,1,Begins with MZM system entry
510,551,1964-10-01,2016-12-01,1964,10,2016,12,1,Begins with ZAM system entry
510,553,1964-07-01,2016-12-01,1964,07,2016,12,1,Begins with MAW system entry
510,581,1975-12-01,2016-12-01,1975,12,2016,12,5,Across Indian Ocean; begins with COM system entry
510,591,1976-06-01,2016-12-01,1976,06,2016,12,5,Across Indian Ocean; begins with SEY system entry
511,520,1963-12-01,1964-04-01,1963,12,1964,04,5,Across Indian Ocean; begins with ZAN system entry; ends with ZAN merger into TAZ
516,517,1962-07-01,2016-12-01,1962,07,2016,12,1,Begins with BUI/RWA system entry
520,522,1977-06-01,2016-12-01,1977,06,2016,12,1,Begins with DJI system entry
520,530,1960-07-01,2016-12-01,1960,07,2016,12,1,Begins with SOM system entry
520,678,1960-07-01,1990-05-01,1960,07,1990,05,4,Across Gulf of Aden; begins with SOM system entry; ends with YAR/YPR merger into YEM
520,679,1990-05-01,2016-12-01,1990,05,2016,12,4,Across Gulf of Aden; begins with YAR/YPR merger into YEM
520,680,1967-11-01,1990-05-01,1967,11,1990,05,4,Across Gulf of Aden; begins with YPR system entry; ends with YAR/YPR merger into YEM
520,698,1971-10-01,2016-12-01,1971,10,2016,12,5,Across Gulf of Aden; begins with OMA system entry
522,530,1977-06-01,2016-12-01,1977,06,2016,12,1,Begins with DJI system entry
522,531,1993-05-01,2016-12-01,1993,05,2016,12,1,Begins with ERI secession from ETH
522,670,1977-06-01,2016-12-01,1977,06,2016,12,5,Across Red Sea; begins with DJI system entry
522,678,1977-06-01,1990-05-01,1977,06,1990,05,3,Across Bab el Mandeb; begins with DJI system entry; ends with YAR/YPR merger into YEM
522,679,1990-05-01,2016-12-01,1990,05,2016,12,2,Across Bab el Mandeb; vegins with YAR/YPR merger into YEM
522,680,1977-06-01,1990-05-01,1977,06,1990,05,2,Across Bab el Mandeb; begins with DJI system entry; ends with YAR/YPR merger into YEM
530,531,1993-05-01,2016-12-01,1993,05,2016,12,1,Begins with ERI secession from ETH
530,625,1956-01-01,2016-12-01,1956,01,2016,12,1,Begins with SUD system entry
530,626,2011-07-01,2016-12-01,2011,07,2016,12,1,Begins with SSD system entry
530,670,1952-09-01,1993-05-01,1952,09,1993,05,4,Across Red Sea (through Eritrea); begins when ERI federated with ETH; ends with ERI secession from ETH
530,678,1952-09-01,1990-05-01,1952,09,1990,05,2,Across Bab el Mandeb (through Eritrea); begins when ERI federated with ETH; ends with YAR/YPR merger into YEM
530,679,1990-05-01,1993-05-01,1990,05,1993,05,2,Across Bab el Mandeb (through Eritrea); begins with YAR/YPR merger into YEM; ends with ERI secession from ETH
530,680,1967-11-01,1990-05-01,1967,11,1990,05,3,Across Bab el Mandeb (through Eritrea); begins with YPR system entry; ends with YAR/YPR merger into YEM
531,625,1993-05-01,2016-12-01,1993,05,2016,12,1,Begins with ERI secession from ETH
531,670,1993-05-01,2016-12-01,1993,05,2016,12,4,Across Red Sea; begins with ERI secession from ETH
531,679,1993-05-01,2016-12-01,1993,05,2016,12,2,Across Bab el Mandeb; begins with ERI secession from ETH
540,551,1975-11-01,2016-12-01,1975,11,2016,12,1,Begins with ANG system entry
540,565,1990-03-01,2016-12-01,1990,03,2016,12,1,Begins with NAM system entry
541,551,1975-06-01,2016-12-01,1975,06,2016,12,1,Begins with MZM system entry
541,552,1975-06-01,2016-12-01,1975,06,2016,12,1,Begins with MZM system entry
541,553,1975-06-01,2016-12-01,1975,06,2016,12,1,Begins with MZM system entry
541,560,1975-06-01,2016-12-01,1975,06,2016,12,1,Begins with MZM system entry
541,572,1975-06-01,2016-12-01,1975,06,2016,12,1,Begins with MZM system entry
541,580,1975-06-01,2016-12-01,1975,06,2016,12,5,Across Indian Ocean; begins with MZM system entry
541,581,1975-12-01,2016-12-01,1975,12,2016,12,5,Across Indian Ocean; begins with COM system entry
541,591,1976-06-01,2016-12-01,1976,06,2016,12,5,Across Indian Ocean; begins with SEY system entry
551,552,1965-11-01,2016-12-01,1965,11,2016,12,1,Begins with ZIM system entry
551,553,1964-10-01,2016-12-01,1964,10,2016,12,1,Begins with ZAM system entry
551,565,1990-03-01,2016-12-01,1990,03,2016,12,1,Begins with NAM system entry
551,571,1966-09-01,2016-12-01,1966,09,2016,12,1,Begins with BOT system entry
552,560,1965-11-01,2016-12-01,1965,11,2016,12,1,Begins with ZIM system entry
552,571,1966-09-01,2016-12-01,1966,09,2016,12,1,Begins with BOT system entry
560,565,1990-03-01,2016-12-01,1990,03,2016,12,1,Begins with NAM system entry
560,570,1966-10-01,2016-12-01,1966,10,2016,12,1,Begins with LES system entry
560,571,1966-09-01,2016-12-01,1966,09,2016,12,1,Begins with BOT system entry
560,572,1968-09-01,2016-12-01,1968,09,2016,12,1,Begins with SWA system entry
565,571,1990-03-01,2016-12-01,1990,03,2016,12,1,Begins with NAM system entry
580,581,1975-12-01,2016-12-01,1975,12,2016,12,5,Across Indian Ocean; begins with COM system entry
580,591,1976-06-01,2016-12-01,1976,06,2016,12,5,Across Indian Ocean; begins with SEY system entry
581,591,1976-06-01,2016-12-01,1976,06,2016,12,5,Across Indian Ocean; begins with SEY system entry
590,591,1976-06-01,2016-12-01,1976,06,2016,12,5,Across Indian Ocean; begins with SEY system entry
600,615,1962-07-01,2016-12-01,1962,07,2016,12,1,Begins with ALG system entry
615,616,1962-07-01,2016-12-01,1962,07,2016,12,1,Begins with ALG system entry
615,620,1962-07-01,2016-12-01,1962,07,2016,12,1,Begins with ALG system entry
616,620,1956-03-01,2016-12-01,1956,03,2016,12,1,Begins with TUN system reentry
616,640,1835-05-01,1881-05-01,1835,05,1881,05,1,Through Libya; begins with restoration of Ottoman rule over Libya; ends with FRN occupation of TUN
620,625,1956-03-01,2016-12-01,1956,03,2016,12,1,Begins with SUD system entry
620,640,1951-12-01,2016-12-01,1951,12,2016,12,5,Across Mediterranean Sea; begins with LIB system entry
620,651,1951-12-01,2016-12-01,1951,12,2016,12,1,Begins with LIB system entry
625,626,2011-07-01,2016-12-01,2011,07,2016,12,1,Begins with SSD system entry
625,651,1956-01-01,2016-12-01,1956,01,2016,12,1,Begins with SUD system entry
625,670,1956-01-01,2016-12-01,1956,01,2016,12,4,Across Red Sea; begins with SUD system entry
625,678,1956-01-01,1990-05-01,1956,01,1990,05,5,Across Red Sea; begins with SUD system entry; ends with YAR/YPR merger into YEM
625,679,1990-05-01,2016-12-01,1990,05,2016,12,5,Across Red Sea; begins with YAR/YPR merger into YEM
625,680,1967-11-01,1990-05-01,1967,11,1990,05,5,Across Red Sea; begins with YPR system entry; ends with YAR/YPR merger into YEM
630,640,1855-01-01,2016-12-01,1855,01,2016,12,1,Begins with IRN system entry
630,645,1932-10-01,2016-12-01,1932,10,2016,12,1,Begins with IRQ system entry
630,670,1927-05-01,2016-12-01,1927,05,2016,12,4,Across Persian Gulf; begins with SAU system entry
630,690,1961-06-01,2016-12-01,1961,06,2016,12,3,Across Persian Gulf; begins with KUW system entry
630,692,1971-08-01,2016-12-01,1971,08,2016,12,4,Across Persian Gulf; begins with BAH system entry
630,694,1971-09-01,2016-12-01,1971,09,2016,12,4,Across Persian Gulf; begins with QAT system entry
630,696,1971-12-01,2016-12-01,1971,12,2016,12,4,Across Persian Gulf; begins with UAE system entry
630,698,1971-10-01,2016-12-01,1971,10,2016,12,4,Across Persian Gulf; begins with OMA system entry
630,700,1920-01-01,2016-12-01,1920,01,2016,12,1,Begins with AFG system entry
630,701,1991-12-01,2016-12-01,1991,12,2016,12,1,Begins with TKM system entry
630,705,1991-12-01,2016-12-01,1991,12,2016,12,5,Across Caspian Sea; begins with KZK system entry
630,770,1947-08-01,2016-12-01,1947,08,2016,12,1,Begins with PAK system entry
640,645,1932-10-01,2016-12-01,1932,10,2016,12,1,Begins with IRQ system entry
640,651,1855-01-01,1882-09-01,1855,01,1882,09,1,Begins with EGY system entry; ends with UKG occupation of EGY
640,651,1937-05-01,1958-02-01,1937,05,1958,02,5,Across Mediterranean Sea; resumes with EGY system reentry; sea contiguity replaced by land when SYR merges with EGY
